Designator,Mid X,Mid Y,Rotation,Layer
D48,82.6625,-69.05625,90.0,bottom
D49,101.7125,-69.05625,90.0,bottom
D5,77.9,-11.90625,90.0,bottom
D50,120.7625,-69.05625,90.0,bottom
D51,139.8125,-69.05625,90.0,bottom
D52,158.8625,-69.05625,90.0,bottom
D53,177.9,-69.05625,90.0,bottom
D54,196.9625,-69.05625,90.0,bottom
D55,216.0125,-69.05625,90.0,bottom
D56,242.20625,-69.05625,90.0,bottom
D57,268.4,-69.05625,90.0,bottom
D58,287.45,-69.05625,90.0,bottom
D59,4.08125,-88.10625,90.0,bottom
D6,96.95,-11.90625,90.0,bottom
D60,27.89375,-88.10625,90.0,bottom
D61,51.68125,-88.10625,90.0,bottom
D62,123.14375,-88.10625,90.0,bottom
D63,194.5,-88.10625,90.0,bottom
D64,218.3125,-88.10625,90.0,bottom
D65,249.35,-88.10625,90.0,bottom
D66,268.4,-88.10625,90.0,bottom
D67,287.45,-88.10625,90.0,bottom
D7,116.0,-11.90625,90.0,bottom
D8,135.05,-11.90625,90.0,bottom
D9,154.1,-11.90625,90.0,bottom
F1,24.69,-15.09,180.0,bottom
J1,66.05,-17.50375,270.0,bottom
J2,164.86,-74.12,270.0,top
MX1,9.0,-9.0,0.0,top
MX10,180.45,-9.0,0.0,top
MX11,199.5,-9.0,0.0,top
MX12,218.55,-9.0,0.0,top
MX13,237.6,-9.0,0.0,top
MX14,266.175,-9.0,0.0,top
MX15,294.75,-9.0,0.0,top
MX16,13.7625,-28.05,0.0,top
MX17,37.575,-28.05,0.0,top
MX18,56.625,-28.05,0.0,top
MX19,75.675,-28.05,0.0,top
MX2,28.05,-9.0,0.0,top
MX20,94.725,-28.05,0.0,top
MX21,113.775,-28.05,0.0,top
MX22,132.825,-28.05,0.0,top
MX23,151.875,-28.05,0.0,top
MX24,170.925,-28.05,0.0,top
MX25,189.975,-28.05,0.0,top
MX26,209.025,-28.05,0.0,top
MX27,228.075,-28.05,0.0,top
MX28,247.125,-28.05,0.0,top
MX29,270.9375,-28.05,0.0,top
MX3,47.1,-9.0,0.0,top
MX30,294.75,-28.05,0.0,top
MX31,16.14375,-47.1,0.0,top
MX32,42.3375,-47.1,0.0,top
MX33,61.3875,-47.1,0.0,top
MX34,80.4375,-47.1,0.0,top
MX35,99.4875,-47.1,0.0,top
MX36,118.5375,-47.1,0.0,top
MX37,137.5875,-47.1,0.0,top
MX38,156.6375,-47.1,0.0,top
MX39,175.6875,-47.1,0.0,top
MX4,66.15,-9.0,0.0,top
MX40,194.7375,-47.1,0.0,top
MX41,213.7875,-47.1,0.0,top
MX42,232.8375,-47.1,0.0,top
MX43,263.79375,-47.1,0.0,top
MX44,294.75,-47.1,0.0,top
MX45,20.90625,-66.15,0.0,top
MX46,51.8625,-66.15,0.0,top
MX47,70.9125,-66.15,0.0,top
MX48,89.9625,-66.15,0.0,top
MX49,109.0125,-66.15,0.0,top
MX5,85.2,-9.0,0.0,top
MX50,128.0625,-66.15,0.0,top
MX51,147.1125,-66.15,0.0,top
MX52,166.1625,-66.15,0.0,top
MX53,185.2125,-66.15,0.0,top
MX54,204.2625,-66.15,0.0,top
MX55,223.3125,-66.15,0.0,top
MX56,249.50625,-66.15,0.0,top
MX57,275.7,-66.15,0.0,top
MX58,294.75,-66.15,0.0,top
MX59,11.38125,-85.2,0.0,top
MX6,104.25,-9.0,0.0,top
MX60,35.19375,-85.2,0.0,top
MX61,59.00625,-85.2,0.0,top
MX62,130.44375,-85.2,0.0,top
MX63,201.88125,-85.2,0.0,top
MX64,225.69375,-85.2,0.0,top
MX65,256.65,-85.2,0.0,top
MX66,275.75,-85.2,0.0,top
MX67,294.75,-85.2,0.0,top
MX7,123.3,-9.0,0.0,top
MX8,142.35,-9.0,0.0,top
MX9,161.4,-9.0,0.0,top
R1,175.28,-82.65,270.0,bottom
R2,32.34,-18.75375,180.0,bottom
R3,32.34,-16.25375,180.0,bottom
R4,142.74375,-89.08,180.0,bottom
SW1,180.81375,-83.615,180.0,bottom
U1,38.22375,-17.50375,270.0,bottom
U2,154.07375,-85.81,0.0,bottom
Y1,166.53,-85.8,0.0,bottom
